Theft Status,Occurrence Hour,Occurrence Month,Premises Type,Bike Cost
1,15,7,Outdoors,78
1,18,7,Residential,1000
1,11,7,Outdoors,300
1,19,7,Other,120
1,18,7,Outdoors,850
1,14,7,Other,700
1,7,7,Other,600
1,9,7,Outdoors,218.440002441406
1,14,7,Other,2000
1,1,7,Residential,1359
1,0,7,Other,0
1,23,7,Other,800
1,23,7,Other,500
1,11,7,Residential,1700
1,19,7,Residential,400
1,21,7,Outdoors,60
1,11,7,Residential,829
1,19,7,Outdoors,600
1,19,7,Outdoors,150
1,2,7,Residential,687
1,9,7,Residential,550
1,7,7,Residential,1300
1,9,7,Outdoors,146.889999389648
1,21,7,Residential,1000
1,14,7,Residential,50
1,10,7,Other,670
1,23,7,Other,400
1,0,7,Outdoors,800
1,12,7,Residential,1780
1,14,7,Residential,50
1,19,7,Outdoors,489
1,12,7,Outdoors,1000
1,15,7,Outdoors,800
1,19,7,Residential,500
1,22,7,Residential,400
1,21,7,Other,1000
1,20,7,Other,1500
1,18,7,Residential,200
1,11,7,Outdoors,465
1,12,7,Outdoors,400
1,17,6,Other,500
1,21,7,Other,1000
1,21,7,Residential,700
1,22,7,Residential,625
1,7,7,Outdoors,400
1,9,7,Residential,599
1,18,7,Other,500
1,7,7,Other,600
1,12,7,Residential,100
1,18,7,Residential,737
1,18,7,Other,500
1,0,6,Residential,500
1,15,7,Outdoors,300
1,14,7,Outdoors,150
1,7,7,Residential,550
1,9,7,Residential,622
1,8,7,Residential,960.5
1,8,7,Residential,1128.86999511719
1,14,7,Outdoors,500
1,8,7,Residential,789.869995117188
1,18,7,Residential,700
1,16,7,Outdoors,1000
1,13,7,Outdoors,680
1,8,7,Outdoors,1500
1,16,7,Residential,500
1,20,7,Residential,112
1,9,7,Outdoors,250
1,14,7,Residential,400
1,14,8,Residential,650
1,14,7,Residential,1100
1,18,7,Residential,600
1,18,8,Residential,200
1,10,7,Other,70
1,10,7,Other,80
1,9,7,Residential,250
1,21,8,Other,699.989990234375
1,18,8,Residential,600
0,0,8,Residential,1800
1,17,8,Residential,800
0,15,8,Residential,110
1,15,8,Residential,50
